Year,Month,Country,Fuel,Share_bins,Hour,Cumulative_Hours
2015,1,Austria,Coal,<1%,263.75,263.75
2015,1,Austria,Coal,<3%,53.0,316.75
2015,1,Austria,Coal,<5%,68.0,384.75
2015,1,Austria,Coal,<10%,256.5,641.25
2015,1,Austria,Coal,<15%,102.75,744.0
2015,1,Austria,Coal,<20%,0.0,744.0
2015,1,Austria,Coal,<25%,0.0,744.0
2015,1,Austria,Coal,<30%,0.0,744.0
2015,1,Austria,Coal,<35%,0.0,744.0
2015,1,Austria,Coal,<40%,0.0,744.0
2015,1,Austria,Coal,<45%,0.0,744.0
2015,1,Austria,Coal,<50%,0.0,744.0
2015,1,Austria,Coal,<55%,0.0,744.0
2015,1,Austria,Coal,<60%,0.0,744.0
2015,1,Austria,Coal,<65%,0.0,744.0
2015,1,Austria,Coal,<70%,0.0,744.0
2015,1,Austria,Coal,<75%,0.0,744.0
2015,1,Austria,Coal,<80%,0.0,744.0
2015,1,Austria,Coal,<85%,0.0,744.0
2015,1,Austria,Coal,<90%,0.0,744.0
2015,1,Austria,Coal,<95%,0.0,744.0
2015,1,Austria,Coal,>=95%,0.0,744.0
2015,1,Austria,Fossil fuel,<1%,0.0,0.0
2015,1,Austria,Fossil fuel,<3%,0.0,0.0
2015,1,Austria,Fossil fuel,<5%,0.0,0.0
2015,1,Austria,Fossil fuel,<10%,19.0,19.0
2015,1,Austria,Fossil fuel,<15%,47.0,66.0
2015,1,Austria,Fossil fuel,<20%,93.5,159.5
2015,1,Austria,Fossil fuel,<25%,100.25,259.75
2015,1,Austria,Fossil fuel,<30%,144.5,404.25
2015,1,Austria,Fossil fuel,<35%,164.0,568.25
2015,1,Austria,Fossil fuel,<40%,74.25,642.5
2015,1,Austria,Fossil fuel,<45%,82.75,725.25
2015,1,Austria,Fossil fuel,<50%,18.0,743.25
2015,1,Austria,Fossil fuel,<55%,0.75,744.0
2015,1,Austria,Fossil fuel,<60%,0.0,744.0
2015,1,Austria,Fossil fuel,<65%,0.0,744.0
2015,1,Austria,Fossil fuel,<70%,0.0,744.0
2015,1,Austria,Fossil fuel,<75%,0.0,744.0
2015,1,Austria,Fossil fuel,<80%,0.0,744.0
2015,1,Austria,Fossil fuel,<85%,0.0,744.0
2015,1,Austria,Fossil fuel,<90%,0.0,744.0
2015,1,Austria,Fossil fuel,<95%,0.0,744.0
2015,1,Austria,Fossil fuel,>=95%,0.0,744.0
2015,1,Austria,Gas,<1%,0.0,0.0
2015,1,Austria,Gas,<3%,0.0,0.0
2015,1,Austria,Gas,<5%,0.0,0.0
